,Raw Model RMSE,C1 RMSE,C2 RMSE,RandomWrapper RMSE
DecisionTreeRegressor5,8.828271555004594,6.715528107980622,7.463573251008282,7.275129608304111
DecisionTreeRegressor10,8.25271306036262,6.359388367435966,7.088621067566207,7.5056175821973925
DecisionTreeRegressor3,7.689659737090173,6.947659661572535,7.350113824773167,7.14215152906929
Lasso,6.936331591339268,6.8672698651494315,6.9884143458007895,6.93457065593059
RandomForestRegressorNone3,6.800028935292682,8.22953713650019,5.889158234692861,6.5798709789302805
ElasticNet,6.761688788577937,7.016017680802929,6.871789423186618,6.905098723299993
RandomForestRegressorNone5,6.497784464841574,8.302565906627866,6.42695556768563,6.571941651470913
RandomForestRegressorNone10,6.173451023391623,7.715126354319089,5.711052623877444,5.97838780041611
Ridge,5.84633106808176,6.964558453681536,5.472999102977521,5.64890429091035
LinearRegression,5.712713350878924,6.938564889854807,5.599806215092737,5.612898860668638
